Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,619.17,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,636.74,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Renewables,%,857.75,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Wind and Solar,%,221.01,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Clean,ktCO2,901.2,-89.54,-9.04
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Fossil,ktCO2,130811.26,5445.25,4.34
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,619.17,-174.64,-22.0
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,636.74,-128.85,-16.83
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Renewables,ktCO2,857.75,-97.12,-10.17
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,221.01,31.73,16.76
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,764.86,-1.45,-0.19
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Bioenergy,%,604.69,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Coal,%,130192.09,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Gas,%,619.17,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Hydro,%,30.78,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Nuclear,%,43.45,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Other Fossil,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Other Renewables,%,1.27,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Solar,%,221.01,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Bioenergy,ktCO2,604.69,-130.19,-17.72
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Coal,ktCO2,130192.09,5619.89,4.51
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Gas,ktCO2,619.17,-174.64,-22.0
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Fuel,Hydro,ktCO2,30.78,3.61,13.29
